"TITLE","DOI","PUBDATE","ENTREZUID","ABSTRACT"
"Infectious Disease Hospitalizations, New York City, 2001-2014.","10.1177/0033354920935080","2020 Sep/Oct","32687737","Hospital discharge data are a means of monitoring infectious diseases in a population. We investigated rates of infectious disease hospitalizations in New York City.We analyzed data for residents discharged from New York State hospitals with a principal diagnosis of an infectious disease during 2001-2014 by using the Statewide Planning and Research Cooperative System. We calculated annual age-adjusted hospitalization rates and the percentage of hospitalizations in which in-hospital death occurred. We examined diagnoses by site of infection or sepsis and by pathogen type.During 2001-2014, the mean annual age-adjusted rate of infectious disease hospitalizations in New York City was 1661.6 (95% CI, 1659.2-1663.9) per 100 000 population; the mean annual age-adjusted hospitalization rate decreased from 2001-2003 to 2012-2014 (rate ratio = 0.9; 95% CI, 0.9-0.9). The percentage of in-hospital death during 2001-2014 was 5.9%. The diagnoses with the highest mean annual age-adjusted hospitalization rates among all sites of infection and sepsis diagnoses were the lower respiratory tract, followed by sepsis. From 2001-2003 to 2012-2014, the mean annual age-adjusted hospitalization rate per 100 000 population for HIV decreased from 123.1 (95% CI, 121.7-124.5) to 40.0 (95% CI, 39.2-40.7) and for tuberculosis decreased from 10.2 (95% CI, 9.8-10.6) to 4.6 (95% CI, 4.4-4.9).Although hospital discharge data are subject to limitations, particularly for tracking sepsis, lower respiratory tract infections and sepsis are important causes of infectious disease hospitalizations in New York City. Hospitalizations for HIV infection and tuberculosis appear to be declining."
"Things must not fall apart: the ripple effects of the COVID-19 pandemic on children in sub-Saharan Africa.","10.1038/s41390-020-01174-y","2020 Sep 24","32971527","Zero to 19 year-old children in sub-Saharan Africa bear a disproportionate proportion of the global burden of communicable and non-communicable diseases. Significant public health gains have been made in the fight against these diseases, however, factors such as underequipped health systems, disease outbreaks, conflict, and political instability continue to challenge prevention and control. The novel coronavirus disease (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) introduces new challenges to public health programs in sub-Saharan Africa. Of particular concern are programs targeting major conditions among children, such as undernutrition, vaccine-preventable pneumonia and diarrhea, malaria, tuberculosis, HIV, and sickle cell disease. This article focuses on the impact of the COVID-19 pandemic on child health in sub-Saharan Africa. We review the epidemiology of major pediatric diseases and, referencing modeling projections, discuss the short- and long-term impact of the pandemic on major disease control. We deliberate on potential complications of SARS-CoV-2 co-infections/co-morbidities and identify critical social and ethical issues. Furthermore, we highlight the paucity of COVID-19 data and clinical trials in this region and the lack of child participants in ongoing studies. Lastly, approaches and interventions to mitigate the pandemic's impact on child health outcomes are discussed. IMPACT: Children in sub-Saharan Africa bear a disproportionate burden of communicable and non-communicable diseases globally; this remains true even as the COVID-19 pandemic persists. Amidst the fast-expanding COVID-19 literature, there is little comprehensive coverage of the pandemic's indirect impact on child health in sub-Saharan Africa. This article comprehensively outlines the threat that the pandemic poses to major disease prevention and control for children in sub-Saharan Africa. It discusses the potential impact of SARS-CoV-2 co-infections/co-morbidities, highlights research gaps, and advocates for data and action to mitigate the ripple effects of the pandemic on this population."
"Containment of COVID-19 in Ethiopia and implications for tuberculosis care and research.","10.1186/s40249-020-00753-9","2020 Sep 16","32938497","The coronavirus disease 2019 (COVID-19) has emerged as a global health and economic security threat with staggering cumulative incidence worldwide. Given the severity of projections, hospitals across the globe are creating additional critical care surge capacity and limiting patient routine access to care for other diseases like tuberculosis (TB). The outbreak fuels panic in sub-Saharan Africa where the healthcare system is fragile in withstanding the disease. Here, we looked over the COVID-19 containment measures in Ethiopia in context from reliable sources and put forth recommendations that leverage the health system response to COVID-19 and TB.Ethiopia shares a major proportion of the global burden of infectious diseases, while the patterns of COVID-19 are still at an earlier stage of the epidemiology curve. The Ethiopian government exerted tremendous efforts to curb the disease. It limited public gatherings, ordered school closures, directed high-risk civil servants to work from home, and closed borders. It suspended flights to 120 countries and restricted mass transports. It declared a five-month national state of emergency and granted a pardon for 20 402 prisoners. It officially postponed parliamentary and presidential elections. It launched the 'PM Abiy-Jack Ma initiative', which supports African countries with COVID-19 diagnostics and infection prevention and control commodities. It expanded its COVID-19 testing capacity to 38 countrywide laboratories. Many institutions are made available to provide clinical care and quarantine. However, the outbreak still has the potential for greater loss of life in Ethiopia if the community is unable to shape the regular behavioral and sociocultural norms that would facilitate the spread of the disease. The government needs to keep cautious that irregular migrants would fuel the disease. A robust testing capacity is needed to figure out the actual status of the disease. The pandemic has reduced TB care and research activities significantly and these need due attention.Ethiopia took several steps to detect, manage, and control COVID-19. More efforts are needed to increase testing capacity and bring about behavioral changes in the community. The country needs to put in place alternative options to mitigate interruptions of essential healthcare services and scientific researches of significant impact."
"Confronting structural racism in the prevention and control of tuberculosis in the United States.","10.1093/cid/ciaa1763","2020 Nov 26","33242078","Tuberculosis incidence in the United States is declining, yet projections indicate that we will not eliminate tuberculosis in the 21 st century. Incidence rates in regions serving the rural and urban poor, including recent immigrants, are well above the national average. People experiencing incarceration and homelessness represent additional key populations. Better engagement of marginalized populations will not succeed without first addressing the structural racism that fuels continued transmission. Examples include: (1) systematic underfunding of contact tracing in health departments serving regions where Black, Indigenous, and People of Color (BIPOC) live; (2) poor access to affordable care in state governments that refuse to expand insurance coverage to low-income workers through the Affordable Care Act; (3) disproportionate incarceration of BIPOC into crowded prisons with low tuberculosis screening rates; and (4) fear-mongering among immigrants that discourages them from accessing preventive health services. To eliminate tuberculosis, we must first eliminate racist policies that limit essential health services in vulnerable communities.© The Author(s) 2020. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com."
"Ten-year survival with analysis of gender difference, risk factors, and causes of death during 13 years of public antiretroviral therapy in rural Kenya.","10.1097/MD.0000000000020328","2020 May 22","32481319","Evidence for why antiretroviral therapy (ART) outcomes differ by gender in developing countries has been inconclusive. In this first study to assess 10-year survival on ART in Kenya, our objective was to compare gender differences in survival for those who began ART as adults and as children. Kakamega County Referral Hospital (KCRH) is a tertiary rural hospital that has provided public ART to Kenyans since 2004. All patients enrolled in ART at KCRH who died between July 2004 and March 2017 and a sample of living patients were included in a survival analysis that bootstrapped sampled data. Case-cohort regressions identified adjusted hazard ratios. In total, 1360 patients were included in the study. Ten-year survival was 77% (95% confidence band [CB] 73-81%), significantly different for men (65%; 95% CB: 45-74%) and women (83%; 95% CB: 78-86%) who began therapy as adults. Ten-year survival was intermediate with no significant gender difference (76%; 95% CB: 69-81%) for patients who began therapy as children. Hazard of death was increased for men (hazard ratio [HR] 1.56; 95% confidence interval [CI] 1.13-2.17), infants (HR 2.87; 95% CI 1.44-5.74), patients with consistently poor clinic attendance (HR 3.94; 95% CI 3.19-4.86), and divorced patients (HR 2.25; 95% CI 1.19-4.25). Tuberculosis, diarrheal illnesses, human immunodeficiency virus (HIV) wasting syndrome, and malaria were leading causes of death. Survival was significantly lower for men than for women in all time periods, but only for patients who began therapy as adults, indicating against biological etiologies for the gender mortality difference."
"Tuberculosis infection and epidemiological characteristics in Haidian District, Beijing, 2005-2018.","10.1186/s12889-020-08773-8","2020 Jun 1","32487108","This study was aimed to investigate the epidemiological characteristic of pulmonary tuberculosis (PTB) in Haidian District, Beijing from 2005 to 2018 and to provide suggestions for controlling tuberculosis (TB) development.Epidemiological data about TB were obtained by the Infectious Disease Reporting System at different levels of medical institutions in Haidian District of Beijing from 2005 to 2018. The epidemiological methods combined with χ2 test were used to analyze the distribution of TB in population, time, region and TB diagnosis.In total, 14,449 cases of TB patients were reported in Haidian District from 2005 to 2018 and the average annual morbidity was 31.67/10,000. Of the total cases, housework and unemployed people (20.73%; 2996/14,449) accounted for the highest proportion of occupational distribution, followed by students, accounting for 17.18% (2482/14,449). 2433 patients with the age of 65 years and over accounting for 16.83% (2433/14,449); Laboratory confirmed diagnosis of TB was 26.60% and the diagnostic delays accounted for 54.96%.From 2005 to 2018, TB incidence was falling gradually in Haidian District. However, particular attention should be paid to the elderly and student groups, and the policy publicity and education should be strengthened to reduce the diagnosis delay of TB."
"Forecasting tuberculosis using diabetes-related google trends data.","10.1080/20477724.2020.1767854","2020 Jul","32453658","Online activity-based data can be used to aid infectious disease forecasting. Our aim was to exploit the converging nature of the tuberculosis (TB) and diabetes epidemics to forecast TB case numbers. Thus, we extended TB prediction models based on traditional data with diabetes-related Google searches. We obtained data on the weekly case numbers of TB in Germany from June 8th, 2014, to May 5th, 2019. Internet search data were obtained from a Google Trends (GTD) search for 'diabetes' to the corresponding interval. A seasonal autoregressive moving average (SARIMA) model (0,1,1) (1,0,0) [52] was selected to describe the weekly TB case numbers with and without GTD as an external regressor. We cross-validated the SARIMA models to obtain the root mean squared errors (RMSE). We repeated this procedure with autoregressive feed-forward neural network (NNAR) models using 5-fold cross-validation. To simulate a data-poor surveillance setting, we also tested traditional and GTD-extended models against a hold-out dataset using a decreased 52-week-long period with missing values for training. Cross-validation resulted in an RMSE of 20.83 for the traditional model and 18.56 for the GTD-extended model. Cross-validation of the NNAR models showed a mean RMSE of 19.49 for the traditional model and 18.99 for the GTD-extended model. When we tested the models trained on a decreased dataset with missing values, the GTD-extended models achieved significantly better prediction than the traditional models (p < 0.001). The GTD-extended models outperformed the traditional models in all assessed model evaluation parameters. Using online activity-based data regarding diabetes can improve TB forecasting, but further validation is warranted."
"Etiology and characteristics of patients with bronchiectasis in Taiwan: a cohort study from 2002 to 2016.","10.1186/s12890-020-1080-7","2020 Feb 18","32070324","Bronchiectasis is a chronic infectious respiratory disease with diverse causes and ethnic or geographic differences. However, few large-scale studies of its etiology have been conducted in Asia. This study aimed to determine the etiology and clinical features of bronchiectasis in Taiwan.This longitudinal cohort study investigated the etiology and clinical features of newly diagnosed non-cystic fibrosis bronchiectasis patients from January 2002 to December 2016. The clinical, functional and microbiological data of patients were retrieved from the Chang Gung Research Database, which includes seven medical facilities throughout Taiwan. The index date was the date of the first bronchiectasis diagnosis. Known diseases that were diagnosed before the index date were regarded as etiologies of bronchiectasis.The cohort comprised 15,729 adult patients with bronchiectasis. Idiopathic (32%) was the most common cause, followed by post-pneumonia (24%). Other causes included post-tuberculosis (12%), chronic obstructive pulmonary disease (14%), asthma (10%), gastroesophageal reflux disease (2%) and rheumatic diseases (2%). At diagnosis, 8487 patients had sputum culture. Pseudomonas aeruginosa (5.3%) was the most common bacteria, followed by non-tuberculosis mycobacteria (3.6%), Haemophilus influenzae (3.4%) and Klebsiella pneumoniae (3.1%), but 6155 (72.1%) had negative sputum cultures. Patients with post-tuberculosis had a higher sputum isolation rate of non-tuberculosis mycobacteria than P. aeruginosa. Patients with post-tuberculosis and post-pneumonia bronchiectasis had a higher frequency of chronic lung infection than other groups (p < 0.05). Clinical characteristics, such as gender, lung function, comorbidities and microbiology, were significantly different between idiopathic and known etiologies.Idiopathic, post-infection and tuberculosis constitute major bronchiectasis etiologies in Taiwan. Clinical characteristics and sputum microbiology were distinct among separate etiology phenotypes."
"Comparative Modeling of Tuberculosis Epidemiology and Policy Outcomes in California.","10.1164/rccm.201907-1289OC","2020 Feb 1","31626560","Rationale: Mathematical modeling is used to understand disease dynamics, forecast trends, and inform public health prioritization. We conducted a comparative analysis of tuberculosis (TB) epidemiology and potential intervention effects in California, using three previously developed epidemiologic models of TB.Objectives: To compare the influence of various modeling methods and assumptions on epidemiologic projections of domestic latent TB infection (LTBI) control interventions in California.Methods: We compared model results between 2005 and 2050 under a base-case scenario representing current TB services and alternative scenarios including: 1) sustained interruption of Mycobacterium tuberculosis (Mtb) transmission, 2) sustained resolution of LTBI and TB prior to entry of new residents, and 3) one-time targeted testing and treatment of LTBI among 25% of non-U.S.-born individuals residing in California.Measurements and Main Results: Model estimates of TB cases and deaths in California were in close agreement over the historical period but diverged for LTBI prevalence and new Mtb infections-outcomes for which definitive data are unavailable. Between 2018 and 2050, models projected average annual declines of 0.58-1.42% in TB cases, without additional interventions. A one-time LTBI testing and treatment intervention among non-U.S.-born residents was projected to produce sustained reductions in TB incidence. Models found prevalent Mtb infection and migration to be more significant drivers of future TB incidence than local transmission.Conclusions: All models projected a stagnation in the decline of TB incidence, highlighting the need for additional interventions including greater access to LTBI diagnosis and treatment for non-U.S.-born individuals. Differences in model results reflect gaps in historical data and uncertainty in the trends of key parameters, demonstrating the need for high-quality, up-to-date data on TB determinants and outcomes."
"Evaluation of 6-Month Versus Continuous Isoniazid Preventive Therapy for Mycobacterium tuberculosis in Adults Living With HIV/AIDS in Malawi.","10.1097/QAI.0000000000002497","2020 Dec 15","33177475","To assist the Malawi Ministry of Health to evaluate 2 competing strategies for scale-up of isoniazid preventive therapy (IPT) among HIV-positive adults receiving antiretroviral therapy.Malawi.We used a multidistrict, compartmental model of the Malawi tuberculosis (TB)/HIV epidemic to compare the anticipated health impacts of 6-month versus continuous IPT programs over a 12-year horizon while respecting a US$10.8 million constraint on drug costs in the first 3 years.The 6-month IPT program could be implemented nationwide, whereas the continuous IPT alternative could be introduced in 14 (of the 27) districts. By the end of year 12, the continuous IPT strategy was predicted to avert more TB cases than the 6-month alternative, although not statistically significant (2368 additional cases averted; 95% projection interval [PI], -1459 to 5023). The 6-month strategy required fewer person-years of IPT to avert a case of TB or death than the continuous strategy. For both programs, the mean reductions in TB incidence among people living with HIV by year 12 were expected to be <10%, and the cumulative numbers of IPT-related hepatotoxicity to exceed the number of all-cause deaths averted in the first 3 years.With the given budgetary constraint, the nationwide implementation of 6-month IPT would be more efficient and yield comparable health benefits than implementing a continuous IPT program in fewer districts. The anticipated health effects associated with both IPT strategies suggested that a combination of different TB intervention strategies would likely be required to yield a greater impact on TB control in settings such as Malawi, where antiretroviral therapycoverage is relatively high."
